,emotion,quote
0,happiness,"There is only one happiness in this life, to love and be loved."
1,happiness,Life is full of happiness and tears; be strong and have faith.
2,happiness,"Friends show their love in times of trouble, not in happiness."
3,happiness,Be happy for this moment. This moment is your life.
4,happiness,Happiness is not something you postpone for the future; it is something you design for the present.
5,happiness,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it."
6,happiness,Happiness radiates like the fragrance from a flower and draws all good things towards you.
7,happiness,"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!"
8,happiness,Love is when the other person's happiness is more important than your own.
9,happiness,"Let us never know what old age is. Let us know the happiness time brings, not count the years."
10,happiness,The secret to happiness is freedom... And the secret to freedom is courage.
11,happiness,"Happiness is having a large, loving, caring, close-knit family in another city."
12,happiness,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him."
13,happiness,"Every day is a new day, and you'll never be able to find happiness if you don't move on."
14,happiness,Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.
15,happiness,"Happiness doesn't depend on any external conditions, it is governed by our mental attitude."
16,happiness,"Happiness is a choice. You can choose to be happy. There's going to be stress in life, but it's your choice whether you let it affect you or not."
17,happiness,"A grateful heart is a beginning of greatness. It is an expression of humility. It is a foundation for the development of such virtues as prayer, faith, courage, contentment, happiness, love, and well-being."
18,happiness,"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you."
19,happiness,The best way to pay for a lovely moment is to enjoy it.
20,happiness,Happiness lies in the joy of achievement and the thrill of creative effort.
21,happiness,Happiness is the natural flower of duty.
22,happiness,The most simple things can bring the most happiness.
23,happiness,Family and friendships are two of the greatest facilitators of happiness.
24,happiness,"Happiness cannot be traveled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude."
25,happiness,"If you want others to be happy, practice compassion. If you want to be happy, practice compassion."
26,fear,"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'"
27,fear,"If you want to conquer fear, don't sit home and think about it. Go out and get busy."
28,fear,"Don't let fear or insecurity stop you from trying new things. Believe in yourself. Do what you love. And most importantly, be kind to others, even if you don't like them."
29,fear,"I've learned that fear limits you and your vision. It serves as blinders to what may be just a few steps down the road for you. The journey is valuable, but believing in your talents, your abilities, and your self-worth can empower you to walk down an even brighter path. Transforming fear into freedom - how great is that?"
30,fear,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear."
31,fear,Remember your dreams and fight for them. You must know what you want from life. There is just one thing that makes your dream become impossible: the fear of failure.
32,fear,"I don't fear death so much as I fear its prologues: loneliness, decrepitude, pain, debilitation, depression, senility. After a few years of those, I imagine death presents like a holiday at the beach."
33,fear,"Courage is resistance to fear, mastery of fear, not absence of fear."
34,fear,"We are afraid to care too much, for fear that the other person does not care at all."
35,fear,"A lot of people would say 'sexy' is about the body. But to me, 'sexy' is a woman with confidence. I admire women who have very little fear."
36,fear,"Some days, 24 hours is too much to stay put in, so I take the day hour by hour, moment by moment. I break the task, the challenge, the fear into small, bite-size pieces. I can handle a piece of fear, depression, anger, pain, sadness, loneliness, illness. I actually put my hands up to my face, one next to each eye, like blinders on a horse."
37,fear,"It is not death that a man should fear, but he should fear never beginning to live."
38,fear,"Red is such an interesting color to correlate with emotion, because it's on both ends of the spectrum. On one end you have happiness, falling in love, infatuation with someone, passion, all that. On the other end, you've got obsession, jealousy, danger, fear, anger and frustration."
39,fear,"With integrity, you have nothing to fear, since you have nothing to hide. With integrity, you will do the right thing, so you will have no guilt."
40,fear,"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones."
41,fear,You always have two choices: your commitment versus your fear.
42,fear,If you know the enemy and know yourself you need not fear the results of a hundred battles.
43,fear,"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand."
44,fear,"Every animal has his or her story, his or her thoughts, daydreams, and interests. All feel joy and love, pain and fear, as we now know beyond any shadow of a doubt. All deserve that the human animal afford them the respect of being cared for with great consideration for those interests or left in peace."
45,fear,"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life. Because almost everything - all external expectations, all pride, all fear of embarrassment or failure - these things just fall away in the face of death, leaving only what is truly important."
46,fear,Battle is the most magnificent competition in which a human being can indulge. It brings out all that is best; it removes all that is base. All men are afraid in battle. The coward is the one who lets his fear overcome his sense of duty. Duty is the essence of manhood.
47,fear,"It is better to be feared than loved, if you cannot be both."
48,fear,"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home."
49,fear,"Limits, like fear, is often an illusion."
50,fear,"Even though you may want to move forward in your life, you may have one foot on the brakes. In order to be free, we must learn how to let go. Release the hurt. Release the fear. Refuse to entertain your old pain. The energy it takes to hang onto the past is holding you back from a new life. What is it you would let go of today?"
51,fear,"Courageous people do not fear forgiving, for the sake of peace."
52,sad,"Heavy hearts, like heavy clouds in the sky, are best relieved by the letting of a little water."
53,sad,"The good times of today, are the sad thoughts of tomorrow."
54,sad,"It's sad to know I'm done. But looking back, I've got a lot of great memories."
55,sad,Tears come from the heart and not from the brain.
56,sad,"Never make a decision when you are upset, sad, jealous or in love."
57,sad,"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts."
58,sad,The word 'happy' would lose its meaning if it were not balanced by sadness.
59,sad,It's sad when someone you know becomes someone you knew.
60,sad,"I am closest to my mother, as she is my rock, my pillar of strength, and my world. Not only has she stood by me through all times - happy, sad, and otherwise - but there have even been moments when I had completely lost hope, and her immense belief in me had lifted me up."
61,sad,"First, accept sadness. Realize that without losing, winning isn't so great."
62,sad,"Grief is never something you get over. You don't wake up one morning and say, 'I've conquered that; now I'm moving on.' It's something that walks beside you every day. And if you can learn how to manage it and honour the person that you miss, you can take something that is incredibly sad and have some form of positivity."
63,sad,"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love."
64,sad,"It's time to say goodbye, but I think goodbyes are sad and I'd much rather say hello. Hello to a new adventure."
65,sad,Depression is the inability to construct a future.
66,sad,"I do believe that if you haven't learnt about sadness, you cannot appreciate happiness."
67,sad,"Affliction comes to us, not to make us sad but sober; not to make us sorry but wise."
68,sad,"When you wake up each morning, you can choose to be happy or choose to be sad. Unless some terrible catastrophe has occurred the night before, it is pretty much up to you. Tomorrow morning, when the sun shines through your window, choose to make it a happy day."
69,sad,"Crying is cleansing. There's a reason for tears, happiness or sadness."
70,sad,"Everyone can have their heart broken. Even if you know the relationship isn't working, it's still sad. Even in a bad relationship, they're part of your life for a long time, and saying goodbye to that can be difficult."
71,sad,Your pain is the breaking of the shell that encloses your understanding.
72,sad,Don't grieve. Anything you lose comes round in another form.
73,sad,The walls we build around us to keep sadness out also keeps out the joy.
74,sad,Red is the ultimate cure for sadness.
75,sad,In deep sadness there is no place for sentimentality.
76,sad,"Nobody understands another's sorrow, and nobody another's joy."
77,anger,"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come."
78,anger,"For every minute you remain angry, you give up sixty seconds of peace of mind."
79,anger,A man who has never made a woman angry is a failure in life.
80,anger,"I don't usually lose my temper, but if I get angry, it's true - I'm scary."
81,anger,Speak when you are angry - and you'll make the best speech you'll ever regret.
82,anger,People won't have time for you if you are always angry or complaining.
83,anger,Anger is the enemy of non-violence and pride is a monster that swallows it up.
84,anger,"I realized that if my thoughts immediately affect my body, I should be careful about what I think. Now if I get angry, I ask myself why I feel that way. If I can find the source of my anger, I can turn that negative energy into something positive."
85,anger,"You will not be punished for your anger, you will be punished by your anger."
86,anger,Discussion is an exchange of knowledge; an argument an exchange of ignorance.
87,anger,To be angry is to revenge the faults of others on ourselves.
88,anger,Silence is one of the hardest arguments to refute.
89,anger,"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy."
90,anger,Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.
91,anger,Anger and intolerance are the enemies of correct understanding.
92,anger,I shall allow no man to belittle my soul by making me hate him.
93,anger,"Too much self-centered attitude, you see, brings, you see, isolation. Result: loneliness, fear, anger. The extreme self-centered attitude is the source of suffering."
94,anger,"While seeking revenge, dig two graves - one for yourself."
95,anger,Reacting in anger or annoyance will not advance one's ability to persuade.
96,anger,"When angry count to ten before you speak. If very angry, count to one hundred."
97,anger,"The five stages - denial, anger, bargaining, depression, and acceptance - are a part of the framework that makes up our learning to live with the one we lost. They are tools to help us frame and identify what we may be feeling. But they are not stops on some linear timeline in grief."
98,anger,"You must never be satisfied with losing. You must get angry, terribly angry, about losing. But the mark of the good loser is that he takes his anger out on himself and not his victorious opponents or on his teammates."
99,anger,How much more grievous are the consequences of anger than the causes of it.
100,wisdom,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.
101,wisdom,Adopt the pace of nature: her secret is patience.
102,wisdom,Quick decisions are unsafe decisions.
103,wisdom,"The young man knows the rules, but the old man knows the exceptions."
104,wisdom,In every walk with nature one receives far more than he seeks.
105,wisdom,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone."
106,wisdom,Discipline is the bridge between goals and accomplishment.
107,wisdom,Honesty is the first chapter in the book of wisdom.
108,wisdom,"Do not go where the path may lead, go instead where there is no path and leave a trail."
109,wisdom,The journey of a thousand miles begins with one step.
110,wisdom,"Because you are women, people will force their thinking on you, their boundaries on you. They will tell you how to dress, how to behave, who you can meet and where you can go. Don't live in the shadows of people's judgement. Make your own choices in the light of your own wisdom."
111,wisdom,Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.
112,wisdom,The only true wisdom is in knowing you know nothing.
113,wisdom,"A tree is known by its fruit; a man by his deeds. A good deed is never lost; he who sows courtesy reaps friendship, and he who plants kindness gathers love."
114,wisdom,"Applause is a receipt, not a bill."
115,wisdom,"We are made wise not by the recollection of our past, but by the responsibility for our future."
116,wisdom,"It is time to remember that old wisdom our soldiers will never forget: that whether we are black or brown or white, we all bleed the same red blood of patriots, we all enjoy the same glorious freedoms, and we all salute the same great American Flag."
117,wisdom,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.
118,wisdom,Knowledge is of no value unless you put it into practice.
119,wisdom,Science is organized knowledge. Wisdom is organized life.
120,wisdom,Our character is what we do when we think no one is looking.
121,wisdom,"It's not what you look at that matters, it's what you see."
122,wisdom,"Wisdom, compassion, and courage are the three universally recognized moral qualities of men."
123,wisdom,It's the little details that are vital. Little things make big things happen.
124,wisdom,"Just as treasures are uncovered from the earth, so virtue appears from good deeds, and wisdom appears from a pure and peaceful mind. To walk safely through the maze of human life, one needs the light of wisdom and the guidance of virtue."
125,motivational,Only I can change my life. No one can do it for me.
126,motivational,"Good, better, best. Never let it rest. 'Til your good is better and your better is best."
127,motivational,Life is 10% what happens to you and 90% how you react to it.
128,motivational,With the new day comes new strength and new thoughts.
129,motivational,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.
130,motivational,Failure will never overtake me if my determination to succeed is strong enough.
131,motivational,"Change your life today. Don't gamble on the future, act now, without delay."
132,motivational,It always seems impossible until it's done.
133,motivational,The past cannot be changed. The future is yet in your power.
134,motivational,"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth."
135,motivational,"Set your goals high, and don't stop till you get there."
136,motivational,It does not matter how slowly you go as long as you do not stop.
137,motivational,You can't cross the sea merely by standing and staring at the water.
138,motivational,We should not give up and we should not allow the problem to defeat us.
139,motivational,"Always do your best. What you plant now, you will harvest later."
140,motivational,Your talent is God's gift to you. What you do with it is your gift back to God.
141,motivational,Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.
142,motivational,"If you can dream it, you can do it."
143,motivational,"Problems are not stop signs, they are guidelines."
144,motivational,"A creative man is motivated by the desire to achieve, not by the desire to beat others."
145,motivational,"If you fell down yesterday, stand up today."
146,motivational,Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.
147,motivational,"Without hard work, nothing grows but weeds."
148,motivational,Accept the challenges so that you can feel the exhilaration of victory.
149,motivational,"Keep your eyes on the stars, and your feet on the ground."
150,movingon,The greatest healing therapy is friendship and love.
151,movingon,"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on."
152,movingon,"Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself."
153,movingon,Every new beginning comes from some other beginning's end.
154,movingon,"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space."
155,movingon,"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good."
156,movingon,"Don't dwell on what went wrong. Instead, focus on what to do next. Spend your energies on moving forward toward finding the answer."
157,movingon,In three words I can sum up everything I've learned about life: it goes on.
158,movingon,Blessed are the hearts that can bend; they shall never be broken.
159,movingon,Grief is in two parts. The first is loss. The second is the remaking of life.
160,movingon,"Moving on, is a simple thing, what it leaves behind is hard."
161,movingon,Healing yourself is connected with healing others.
162,movingon,Forget the past - the future will give you plenty to worry about.
163,movingon,"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things."
164,movingon,"Love one another and help others to rise to the higher levels, simply by pouring out love. Love is infectious and the greatest healing energy."
165,movingon,"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future."
166,movingon,Forget the past.
167,movingon,"If you carry joy in your heart, you can heal any moment."
168,movingon,Recovery begins from the darkest moment.
169,movingon,The words of kindness are more healing to a drooping heart than balm or honey.
170,movingon,"The heart will break, but broken live on."
171,movingon,"You may have a fresh start any moment you choose, for this thing that we call 'failure' is not the falling down, but the staying down."
172,movingon,I think it's important to have closure in any relationship that ends - from a romantic relationship to a friendship. You should always have a sense of clarity at the end and know why it began and why it ended. You need that in your life to move cleanly into your next phase.
